100,"merchandise/hawt_like_a_habanero_mens",itemAttributes[COLOR]=Red?itemAttributes[SIZE]=L?itemAttributes[NAME]=MyName
200,"merchandise/hawt_like_a_habanero_womens",itemAttributes[COLOR]=Red?itemAttributes[SIZE]=L
300,"merchandise/heat_clinic_hand-drawn_mens",itemAttributes[COLOR]=Red?itemAttributes[SIZE]=L
400,"merchandise/heat_clinic_hand-drawn_womens",itemAttributes[COLOR]=Red?itemAttributes[SIZE]=L
500,"merchandise/heat_clinic_mascot_mens",itemAttributes[COLOR]=Red?itemAttributes[SIZE]=L
600,"merchandise/heat_clinic_mascot_womens",itemAttributes[COLOR]=Red?itemAttributes[SIZE]=L
1,"hot-sauces/sudden_death_sauce",---
2,"hot-sauces/sweet_death_sauce",---
3,"hot-sauces/hoppin_hot_sauce",---
4,"hot-sauces/day_of_the_dead_chipotle_hot_sauce",---
5,"hot-sauces/day_of_the_dead_habanero_hot_sauce",---
6,"hot-sauces/day_of_the_dead_scotch_bonnet_sauce",---
7,"hot-sauces/green_ghost",---
8,"hot-sauces/blazin_saddle_hot_habanero_pepper_sauce",---
9,"hot-sauces/armageddon_hot_sauce_to_end_all",---
10,"hot-sauces/dr_chilemeisters_insane_hot_sauce",---
11,"hot-sauces/bull_snort_cowboy_cayenne_pepper_hot_sauce",---
12,"hot-sauces/cafe_louisiane_sweet_cajun_blackening_sauce",---
13,"hot-sauces/bull_snort_smokin_toncils_hot_sauce",---
14,"hot-sauces/cool_cayenne_pepper_hot_sauce",---
15,"hot-sauces/roasted_garlic_hot_sauce",---
16,"hot-sauces/scotch_bonnet_hot_sauce",---
17,"hot-sauces/insanity_sauce",---
18,"hot-sauces/hurtin_jalepeno_hot_sauce",---
19,"hot-sauces/roasted_red_pepper_chipotle_hot_sauce",---
